,names,companies,car_births,car_types,car_prices_1,car_prices_2,fuel_efficiencies,fuels,images
39,2021 G90,제네시스,국산차,대형,7903.0,11977.0,억,7389km,https://imgauto-phinf.pstatic.net/20200626_33/auto_1593152164997R5iQe_PNG/20200626151554_4S7wGgir.png?type=f160_116
40,2021 K8 하이브리드,기아,국산차,준대형,3698.0,4287.0,17.1~18.0km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210504_231/auto_162009085622663O0r_PNG/20210504101359_xRwtPp52.png?type=f160_116
41,2021 넥쏘,현대,국산차,중형,6765.0,7095.0,93.7~96.2km/kg,수소,https://imgauto-phinf.pstatic.net/20210118_2/auto_1610930779940gSkjG_PNG/20210118094559_01t9Np95.png?type=f160_116
42,2022 티볼리,쌍용,국산차,소형,1689.0,2447.0,10.8~12.5km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210504_227/auto_16200978900267R6Ly_PNG/20210504121127_DLw8m88e.png?type=f160_116
43,2021 일렉트리파이드 G80,제네시스,국산차,준대형,8281.0,,4.3km/kWh,전기,https://imgauto-phinf.pstatic.net/20210708_164/auto_1625704726554vXQyp_PNG/20210708093842_ELMdMjqE.png?type=f160_116
44,2021 그랜저 하이브리드,현대,국산차,준대형,3679.0,4489.0,15.2~16.2km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210511_35/auto_1620698351591r4i1B_PNG/20210511105726_YEWgVVLU.png?type=f160_116
45,2021 투싼 하이브리드,현대,국산차,준중형,2857.0,3612.0,15.8~16.2km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20200917_97/auto_1600330903344q5qIP_PNG/20200917172139_FGoXSmul.png?type=f160_116
46,2022 K9,기아,국산차,대형,5694.0,7608.0,8.1~9.0km/ℓ,가솔린,https://imgauto-phinf.pstatic.net/20210615_281/auto_16237213069140K4WM_PNG/20210615104143_kVaH7CYU.png?type=f160_116
47,2022 K5 하이브리드,기아,국산차,중형,2777.0,3384.0,19.1~20.1km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20210625_35/auto_16246045358272X9bN_PNG/20210625160209_velt1UvG.png?type=f160_116
48,2021 모하비,기아,국산차,준대형,4869.0,5694.0,9.3~9.4km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210111_156/auto_1610328246095RTTL7_PNG/20210111102249_yfFIDFcB.png?type=f160_116
49,2022 코란도,쌍용,국산차,준중형,2253.0,3279.0,10.5~16.0km/ℓ,"디젤,가솔린",https://imgauto-phinf.pstatic.net/20210602_289/auto_1622602772643rziK2_PNG/20210602115928_p302YYaQ.png?type=f160_116
50,2021 렉스턴 스포츠 칸,쌍용,국산차,준대형,2856.0,3829.0,10.0~10.3km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210405_253/auto_1617587717620p9447_PNG/20210405105507_HIFJBCQ5.png?type=f160_116
51,2020 아반떼 하이브리드,현대,국산차,준중형,2199.0,2814.0,21.1km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20200813_230/auto_1597282684498BP74l_PNG/20200813103801_tj4QXAvx.png?type=f160_116
52,2021 렉스턴 스포츠,쌍용,국산차,준대형,2439.0,3525.0,10.1~11.3km/ℓ,디젤,https://imgauto-phinf.pstatic.net/20210405_249/auto_1617586040580oGTuD_PNG/20210405102655_LASrq6W9.png?type=f160_116
53,2021 코나 하이브리드,현대,국산차,소형,2365.0,2981.0,17.4~19.3km/ℓ,"하이브리드,가솔린,전기",https://imgauto-phinf.pstatic.net/20201015_85/auto_1602731552505hIwmN_PNG/20201015121205_3GeLvTyt.png?type=f160_116
